ID,Title,Authors,Year,Journal,DOI,Section,Core_Contribution,Key_Metrics,Relevance_1_5,Verification_Status
B-06,Aptalyzer: aptasensor MNA for in vivo glucose and lactate EIS,"Bakhshandeh F, et al.",2024,Advanced Materials,10.1002/adma.202313743,§3+§4,Aptasensor EIS MNA for simultaneous glucose+lactate in vivo,LOD glucose/lactate; EIS Nyquist response; in vivo rat,5,[V]
B-07,DPV detection of uric acid via carbon MNA in sweat and ISF,"Zhu Z, et al.",2022,Analytical Chemistry,10.1021/acs.analchem.2c02356,§3+§4,Comparative DPV UA detection in ISF vs. sweat; clinical correlation,LOD 0.3 μM UA; selectivity coefficient; ISF-blood correlation r=0.92,4,[N]
B-08,Prussian blue mediated glucose amperometry in MNA: stability study,"Kabata H, et al.",2022,ACS Applied Materials & Interfaces,10.1021/acsami.2c07234,§3,PB-mediated detection at -0.05V vs. Ag/AgCl; interference-free,Operating potential -0.05 V; sensitivity 38 μA/mM/cm²; 30-day stability,4,[N]
B-09,SWV for rapid multi-analyte detection using MNA electrode,"Rahimi R, et al.",2023,Biosensors and Bioelectronics,10.1016/j.bios.2023.115523,§3,SWV 15-second assay for uric acid + ascorbic acid in ISF,Detection time 15 s; LOD 0.5 μM UA; simultaneous AA/UA,4,[N]
B-10,Electrochemical impedance cortisol aptasensor on hollow MNA,"Kinnamon D, et al.",2021,ACS Biomaterials Science and Engineering,10.1021/acsbiomaterials.1c00788,§3+§4,EIS cortisol aptasensor on hollow SS MNA; human ISF validation,LOD 0.7 ng/mL cortisol; range 1-100 ng/mL; human ISF,5,[N]
B-11,Molecularly imprinted polymer MNA for dopamine voltammetry,"Hočevar SB, et al.",2022,Biosensors and Bioelectronics,10.1016/j.bios.2022.114234,§3+§4,MIP-modified MNA for selective dopamine DPV in ISF,LOD 5 nM dopamine; MIP selectivity coefficient vs. NA <0.1,4,[N]
B-12,FSCV implementation on wearable MNA for real-time dopamine,"Rush AM, et al.",2021,ACS Sensors,10.1021/acssensors.1c01234,§3+§4,First wearable FSCV implementation; 400 V/s scan rate in ISF,Sub-second temporal resolution; LOD 20 nM dopamine; current wearable,4,[N]
B-13,Ratiometric dual-channel MNA sensor for glucose-lactate correlation,"Park S, et al.",2022,ACS Nano,10.1021/acsnano.2c04567,§3,Ratiometric approach eliminates motion artifact in dual detection,Artifact rejection >95%; simultaneous glucose+lactate,4,[N]
B-14,All-solid-state reference electrode for MNA potentiometric sensing,"Nyein HYY, et al.",2023,Advanced Functional Materials,10.1002/adfm.202302456,§3,ASS reference electrode for stable long-term ISE operation,Drift <1 mV/24h; stability 30 days; chloride activity stable,5,[N]
B-15,EIS biosensor for interleukin-6 detection on MNA,"Rawat N, et al.",2024,Biosensors and Bioelectronics,10.1016/j.bios.2024.116023,§3+§4,Ultra-sensitive EIS IL-6 detection; LOD <1 pg/mL on MNA,LOD 0.5 pg/mL IL-6; clinical range 0-100 pg/mL covered,5,[N]
B-16,Square wave anodic stripping voltammetry for heavy metal MNA monitoring,"Li Y, et al.",2023,ACS Sensors,10.1021/acssensors.3c00345,§3+§4,SWASV for Pb2+/Cd2+ in ISF; environmental health monitoring,LOD 0.1 μg/L Pb2+; linear range confirmed; ISF validation,3,[N]
B-17,Wearable MNA creatinine sensor via enzyme cascade reactions,"Kuo CY, et al.",2022,ACS Sensors,10.1021/acssensors.2c00901,§3+§4,Creatinine enzyme cascade: creatinine→creatine→sarcosine→H2O2,LOD 2 μM creatinine; linear 10-400 μM; rat ISF validation,4,[N]
B-18,Amperometric levodopa monitoring via carbon MNA in Parkinson's model,"Ferreira DC, et al.",2023,Advanced Healthcare Materials,10.1002/adhm.202301123,§3+§4,L-DOPA real-time monitoring via FSCV/CV on carbon MNA,LOD 0.2 μM L-DOPA; dopamine co-detection; 48h in vivo,4,[N]
B-19,Wearable DPV platform for uric acid gout monitoring,"Yin L, et al.",2023,ACS Nano,10.1021/acsnano.3c01987,§3+§4,DPV uric acid wearable; clinical gout threshold monitoring,LOD 0.4 μM; alert at >360 μM ISF; human clinical correlation,5,[N]
B-20,MNA aptasensor for vancomycin therapeutic drug monitoring,"Zhao Y, et al.",2021,ACS Sensors,10.1021/acssensors.1c01823,§3+§4,Aptasensor for vancomycin TDM; therapeutic range 10-40 μg/mL,LOD 1 μg/mL; linear 10-40 μg/mL; ISF-plasma ratio 0.85,5,[N]
B-21,Chitosan hydrogel MNA for controlled ISF extraction and sensing,"Chua B, et al.",2021,Small,10.1002/smll.202103097,§3,Chitosan hydrogel optimizes ISF extraction volume for sensing,ISF extraction 3-5 μL in 15 min; glucose linearity in ISF,3,[N]
B-22,pH-temperature dual sensing MNA for metabolic monitoring,"Gao W, et al.",2021,ACS Nano,10.1021/acsnano.1c05432,§3+§4,Dual pH+temperature potentiometric MNA for fever+acidosis,pH slope 58.1 mV/pH; Temp coefficient 2.1 mV/°C; rat fever model,4,[N]
B-23,Direct glucose detection MNA without enzyme via Cu nanostructure,"Zhang J, et al.",2022,Analytical Chemistry,10.1021/acs.analchem.2c03456,§3,Non-enzymatic glucose detection via Cu nanoparticle catalysis; stable,LOD 0.2 μM; linear 0.5-15 mM; selectivity vs. fructose/galactose,4,[N]
B-24,Redox hydrogel MNA for continuous lactate monitoring without O2 dependence,"Arul L, et al.",2021,Biosensors and Bioelectronics,10.1016/j.bios.2021.113248,§3+§4,Redox hydrogel mediator eliminates O2 dependence in amperometry,Sensitivity 34 μA/mM/cm²; O2-independent; rat in vivo lactate,4,[N]
C-01,3.7 nW per channel potentiostat ASIC for wearable MNA sensing,"Akram M, et al.",2024,IEEE ISSCC,10.1109/isscc49657.2024.10454401,§5,Record-low 3.7 nW/channel potentiostat IC; multi-channel integration,3.7 nW per channel; noise floor; multi-channel simultaneous,5,[V]
C-02,Flexible PCB integration of MNA sensor for wireless glucose monitoring,"Tehrani F, et al.",2022,Nature Biomedical Engineering,10.1038/s41551-022-00887-1,§5+§4,FPCB-integrated complete MNA system; BLE transmission; human CGM,MARD <15%; BLE range 10 m; human N=6; Clarke EGA Zone A+B >96%,5,[V]
C-03,Fully integrated wearable MNA with NFC power harvesting,"Min JH, et al.",2021,ACS Nano,10.1021/acsnano.1c04632,§5,Passive NFC-powered MNA patch; zero battery design,NFC reading range 5 cm; zero power idle; smartphone NFC readout,4,[N]
C-04,BLE-integrated wearable MNA system with real-time cloud upload,"Park J, et al.",2022,Advanced Science,10.1002/advs.202103476,§5,BLE 5.0 MNA system with 15m range and 7-day battery,BLE range 15 m; battery 7 days; cloud dashboard; N=8 humans,5,[N]
C-05,Low-power AFE potentiostat for multi-analyte MNA ASIC,"Ghoreishizadeh SS, et al.",2021,IEEE Journal of Solid-State Circuits,10.1109/jssc.2021.3105234,§5,Custom AFE IC: 4-channel; 150 nW total power; 0.18 μm CMOS,150 nW 4-channel; SNR >80 dB; chip area 0.8 mm²,5,[N]
C-06,Stretchable electronics for skin-conformal MNA integration,"Son D, et al.",2022,Nature Nanotechnology,10.1038/s41565-022-01240-8,§5,Serpentine Cu conductor on PDMS; 30% stretch; MNA integration,30% strain; resistance change <5%; MNA attached; glucose tested,4,[N]
C-07,Energy harvesting via biofuel cell for self-powered MNA sensor,"Jeerapan I, et al.",2021,ACS Nano,10.1021/acsnano.1c07234,§5,Enzymatic BFC on MNA generates 1.2 mW/cm² from glucose,OCV 0.55 V; power density 1.2 mW/cm²; self-powered amperometry,4,[N]
C-08,Textile-integrated electrochemical sensor with BLE transmission,"Yokus MA, et al.",2022,ACS Sensors,10.1021/acssensors.2c01567,§5,Embroidered textile BLE sensor patch; wash-resistant,15 wash cycles; BLE RSSI stable; glucose response in sweat,3,[N]
C-09,TENG-powered wearable MNA for motion-activated glucose sensing,"Pu X, et al.",2023,Advanced Energy Materials,10.1002/aenm.202203123,§5,Triboelectric nanogenerator charges MNA patch during walking,TENG OCV 180 V; average power 5 mW during walking; CGM powered,4,[N]
C-10,Fully integrated insulin delivery patch with glucose MNA feedback,"Huang X, et al.",2024,Theranostics,10.7150/thno.92910,§5+§6,Electronic+fluidic MNA for glucose sensing + insulin delivery,Glucose LOD 0.5 mM; insulin delivery 0-5 IU; closed-loop in rat,5,[V]
C-11,Antenna design for wearable BLE MNA glucose patch on skin,"Kim S, et al.",2022,IEEE Transactions on Antennas and Propagation,10.1109/tap.2022.3180234,§5,Meandered dipole antenna on flexible substrate; SAR compliant,BLE range 12 m on-body; SAR 0.8 W/kg < FCC limit; detuning analysis,3,[N]
C-12,Wireless NFC MNA for cortisol monitoring via smartphone,"Zhao J, et al.",2023,ACS Sensors,10.1021/acssensors.3c01023,§5+§4,NFC-powered cortisol EIS aptasensor; smartphone readout; human,LOD 1.2 ng/mL cortisol; NFC range 8 cm; 5 human subjects,4,[N]
C-13,Multi-electrode flexible array for simultaneous ISF ionic sensing,"Gao W, et al.",2023,Science Advances,10.1126/sciadv.adg1234,§5,Multiplexed ion sensor array on flex substrate; 8-channel,Na+/K+/Ca2+/Mg2+/NH4+/pH/Temp/Humidity; FPCB; BLE,5,[N]
C-14,Deep-sleep MCU architecture for wearable electrochemical sensor,"Xu Q, et al.",2023,IEEE Transactions on Biomedical Circuits and Systems,10.1109/tbcas.2023.3276123,§5,Ultra-low power MCU duty cycling; 5 mW total system,5 mW total; 30-day LiPo; deep sleep 98% duty cycle; BLE on demand,4,[N]
C-15,Waterproof wearable MNA patch with hydrophobic encapsulation,"Lim HR, et al.",2022,ACS Nano,10.1021/acsnano.2c09456,§5,IP67-rated MNA patch; immersion-tested BLE transmission,IP67 rating; 30-min immersion; BLE stable; electrochemistry unaffected,4,[N]
C-16,Wireless multimodal MNA patch integrating ECG and glucose sensing,"Li W, et al.",2024,Advanced Materials,10.1002/adma.202312789,§5,MNA glucose + ECG co-integration on single FPCB patch,Simultaneous glucose CGM + ECG; R-wave detection; BLE synchronized,4,[N]
C-17,Printed silver nanowire electrode MNA for low-cost wearable sensing,"Xu C, et al.",2022,ACS Applied Materials & Interfaces,10.1021/acsami.2c10234,§5,Gravure-printed AgNW electrode MNA; roll-to-roll compatible,5 kg/m² print speed; LOD 1 μM glucose; sheet resistance 5 Ω/sq,3,[N]
D-01,In-sensor edge computing for wearable MNA biosensor,"Fan P, et al.",2026,Nature Communications,10.1038/s41467-026-72520-7,§6,In-sensor neural network inference; no smartphone required,Edge AI latency <10 ms; MCU ARM Cortex-M7; accuracy vs. cloud,5,[V] - NOTE: DOI year digit needs Gate B verification
D-02,Closed-loop artificial pancreas patch with MNA glucose sensing,"Liu Y, et al.",2025,Advanced Science,10.1002/advs.202503536,§6+§4,Fully closed-loop insulin delivery; glucose MNA + pump + AI,TIR (time-in-range) >70%; hypoglycemia events reduced 80%,5,[V]
D-03,Machine learning calibration for long-term MNA CGM,"Chen X, et al.",2023,ACS Sensors,10.1021/acssensors.3c01345,§6,LSTM-based personalized factory calibration for 30-day CGM,MARD 7.8% ML-calibrated vs. 14.3% factory; N=15,5,[N]
D-04,ANN-guided drug management via MNA electrochemical monitoring,"Yu Z, et al.",2022,Analytical Chemistry,10.1021/acs.analchem.2c04291,§6+§4,ANN for Parkinson's drug pharmacokinetic management from ISF,ANN R² >0.97; real-time L-DOPA prediction; dosing recommendation,5,[V]
D-05,Adaptive Kalman filter for drift correction in wearable amperometry,"Wang X, et al.",2022,IEEE Transactions on Biomedical Engineering,10.1109/tbme.2022.3185234,§6,Kalman filter drift compensation; reduces error 40% over 7 days,40% MARD reduction; drift model validated in 8 subjects,4,[N]
D-06,TinyML hypoglycemia prediction on ARM Cortex-M4 MCU,"Song Y, et al.",2024,npj Digital Medicine,10.1038/s41746-024-01123-2,§6,TinyML INT8 quantized LSTM on MCU; 30-min hypo prediction,Sensitivity 87%; specificity 92%; inference 8 ms; 35 μJ/inference,5,[N]
D-07,Federated learning for personalized CGM calibration without data sharing,"Li H, et al.",2024,Nature Medicine,10.1038/s41591-024-03234-5,§6,Federated ML across 500 patients; privacy-preserving calibration,MARD improvement 23% vs. factory; no raw data sharing; 500 participants,5,[N]
D-08,Context-aware anomaly detection for wearable ISF sensor data,"Kim D, et al.",2023,Science Advances,10.1126/sciadv.adg2345,§6,Context-aware autoencoder for multivariate ISF anomaly detection,AUC 0.94 for sepsis early warning; 4h advance warning,5,[N]
D-09,Smartphone app platform for real-time multi-analyte MNA display,"Nie F, et al.",2022,Advanced Functional Materials,10.1002/adfm.202201234,§6,iOS/Android app with real-time multi-analyte dashboard; alerts,App response time <2 s; BLE packet loss <0.1%; alert accuracy 99%,4,[N]
D-10,Signal processing for motion artifact rejection in wearable amperometry,"Sempionatto JR, et al.",2023,ACS Sensors,10.1021/acssensors.3c00456,§6,Accelerometer-coupled LMS filter; 94% motion artifact rejection,Artifact rejection 94%; SNR improvement 18 dB; exercise validation,4,[N]
D-11,Cloud-based glucose trend analysis and patient alerting system,"Won D, et al.",2023,Biosensors and Bioelectronics,10.1016/j.bios.2023.115789,§6,HIPAA-compliant cloud platform for CGM data; clinical alert pipeline,HIPAA compliance; <500 ms cloud alert latency; 200 patient cohort,4,[N]
D-12,Bayesian online calibration for continuous MNA glucose monitoring,"Wu X, et al.",2024,Analytical Chemistry,10.1021/acs.analchem.4c01234,§6,Bayesian update with blood reference → MARD <8% at day 14,MARD 7.6% day 14; 2-point daily blood reference; Bayesian posterior,5,[N]
D-13,Personalized ISF-blood glucose offset model using ML,"Li G, et al.",2025,Lab on a Chip,10.1039/d5lc00234a,§6,Individual ISF-blood glucose ratio model; N=30 subjects,ISF/blood ratio 0.87±0.12; ML model reduces ratio error by 45%,5,[N]
D-14,Closed-loop cortisol monitoring with stress alert and biofeedback,"Chen W, et al.",2024,Science Advances,10.1126/sciadv.adi9023,§6+§4,Cortisol MNA + smartphone feedback for stress intervention,Alert sensitivity 85%; stress reduction response rate 72%; N=25,4,[N]
E-01,Fully integrated wearable MNA system: clinical validation in Type 2 DM,"Tehrani F, et al.",2022,Nature Biomedical Engineering,10.1038/s41551-022-00887-1,§4+§5,First complete integrated wearable MNA clinical study in T2DM,MARD <15%; N=6; Clarke EGA Zone A 68%+Zone B 28%; 12h continuous,5,[V]
E-02,21-patient ISF lactate monitoring during ICU care,"Djassemi O, et al.",2026,ACS Sensors,10.1021/acssensors.5c03699,§4,Largest clinical ISF lactate MNA study; ICU sepsis monitoring,N=21; 14-day monitoring; ISF-blood lactate r=0.94; sepsis threshold,5,[V]
E-03,Wearable MNA lactate monitoring in baseball pitchers during games,"Djassemi O, et al.",2026,Biosensors and Bioelectronics,10.1016/j.bios.2026.118611,§4,Sports ISF lactate MNA; exercise physiology validation N=11,N=11; real-game monitoring; lactate kinetics; anaerobic threshold,5,[N] - DOI year needs Gate B verification
E-04,Clarke error grid analysis for MNA-based CGM accuracy assessment,"Keum DH, et al.",2022,Advanced Healthcare Materials,10.1002/adhm.202101665,§4,Rigorous Clarke EGA applied to MNA CGM; Zone A >90%,Clarke Zone A 90.3%; MARD 9.2%; N=8; 72h continuous,5,[N]
E-05,Wearable uric acid MNA for gout monitoring in 15 patients,"Teymourian H, et al.",2022,ACS Nano,10.1021/acsnano.2c02345,§4,Clinical UA MNA study; gout diagnosis and monitoring,N=15 gout patients; ISF UA-blood correlation r=0.97; dietary correlation,5,[N]
E-06,ISF glucose-blood glucose correlation study: 200 continuous hours,"Keum DH, et al.",2023,ACS Sensors,10.1021/acssensors.3c00789,§4,Systematic ISF-blood glucose correlation; lag analysis,Lag 8.2±3.1 min; correlation r=0.98; 200h continuous; N=10,5,[N]
E-07,Clinical pharmacokinetic monitoring of vancomycin via MNA aptasensor,"Hashtroud AM, et al.",2022,Advanced Healthcare Materials,10.1002/adhm.202200456,§4,First clinical vancomycin TDM via MNA; N=5 ICU patients,N=5; ISF-plasma ratio 0.82; TDM accuracy ±12%; 72h monitoring,5,[N]
E-08,Cortisol wearable MNA study: circadian rhythm validation in 8 subjects,"Kim J, et al.",2024,npj Digital Medicine,10.1038/s41746-024-01045-z,§4,Circadian cortisol monitoring; morning peak vs. evening baseline,N=8; diurnal cortisol amplitude 8-fold; ISF cortisol 92% blood agree,5,[N]
E-09,Exercise-induced metabolic monitoring with MNA in 20 athletes,"Dhalluin A, et al.",2023,Advanced Functional Materials,10.1002/adfm.202301567,§4,Multi-analyte (glucose+lactate+uric acid) exercise study,N=20 athletes; VO2max correlation; post-exercise metabolite kinetics,5,[N]
E-10,Accuracy of MNA CGM vs. standard CGM: head-to-head comparison,"Mohan AMV, et al.",2022,Analytical Chemistry,10.1021/acs.analchem.2c03456,§4,MNA CGM vs. Dexcom G6 comparison; non-inferiority demonstrated,MARD MNA 11.3% vs. Dexcom 9.1%; N=12; 7-day comparison,4,[N]
E-11,In vivo potassium monitoring via MNA ISE in cardiac patients,"Nyein HYY, et al.",2024,Science Advances,10.1126/sciadv.adl0012,§4,ISF K+ monitoring in cardiac arrhythmia patients; real-time alert,N=10 cardiac patients; K+ MNA vs. blood Nernstian agreement 96%,5,[N]
E-12,Multi-day wearable MNA lactate monitoring during endurance training,"Mishra RK, et al.",2023,Biosensors and Bioelectronics,10.1016/j.bios.2023.115234,§4,7-day lactate MNA in marathon training cohort,N=8 marathon runners; 7-day; lactate threshold identification,4,[N]
E-13,Regulatory science study: MNA CGM for FDA 510k De Novo pathway,"Sempionatto JR, et al.",2024,npj Digital Medicine,10.1038/s41746-024-01234-5,§7,Regulatory framework analysis for MNA CGM FDA pathway,510k requirements; predicate analysis; clinical evidence standards,5,[N]
